player_id,thumb_url,name,player_url,jersey,position_group,bat_throw,height,weight,dob,status,is_minors,is_il,is_active_roster,is_40_man,slug
624133,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/624133/headshot/silo/current,Ranger Suarez,/player/624133,55,Pitchers,L/L,"6' 1""",217,08/26/1995,ACTIVE,False,False,True,True,ranger-suarez
670245,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/670245/headshot/silo/current,Ryan Watson,/player/670245,56,Pitchers,R/R,"6' 5""",225,11/15/1997,ACTIVE,False,False,True,True,ryan-watson
669711,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/669711/headshot/silo/current,Greg Weissert,/player/669711,57,Pitchers,R/R,"6' 2""",235,02/04/1995,ACTIVE,False,False,True,True,greg-weissert
676477,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/676477/headshot/silo/current,Garrett Whitlock,/player/676477,22,Pitchers,R/R,"6' 5""",222,06/11/1996,ACTIVE,False,False,True,True,garrett-whitlock
665966,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/665966/headshot/silo/current,Carlos Narváez,/player/665966,75,Catchers,R/R,"5' 11""",190,11/26/1998,ACTIVE,False,False,True,True,carlos-narvaez
657136,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/657136/headshot/silo/current,Connor Wong,/player/657136,12,Catchers,R/R,"5' 10""",190,05/19/1996,ACTIVE,False,False,True,True,connor-wong
671213,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/671213/headshot/silo/current,Triston Casas,/player/671213,36,Infielders,L/R,"6' 4""",244,01/15/2000,ACTIVE,False,False,True,True,triston-casas
575929,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/575929/headshot/silo/current,Willson Contreras,/player/575929,40,Infielders,R/R,"6' 0""",240,05/13/1992,ACTIVE,False,False,True,True,willson-contreras
702332,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/702332/headshot/silo/current,Caleb Durbin,/player/702332,17,Infielders,R/R,"5' 6""",183,02/22/2000,ACTIVE,False,False,True,True,caleb-durbin
643396,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/643396/headshot/silo/current,Isiah Kiner-Falefa,/player/643396,2,Infielders,R/R,"5' 10""",195,03/23/1995,ACTIVE,False,False,True,True,isiah-kiner-falefa
691785,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/691785/headshot/silo/current,Marcelo Mayer,/player/691785,11,Infielders,L/R,"6' 3""",188,12/12/2002,ACTIVE,False,False,True,True,marcelo-mayer
655316,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/655316/headshot/silo/current,Andruw Monasterio,/player/655316,32,Infielders,R/R,"5' 11""",195,05/30/1997,ACTIVE,False,False,True,True,andruw-monasterio
678011,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/678011/headshot/silo/current,Anthony Seigler,/player/678011,48,Infielders,L/S,"5' 9""",192,06/20/1999,ACTIVE,False,False,True,True,anthony-seigler
596115,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/596115/headshot/silo/current,Trevor Story,/player/596115,10,Infielders,R/R,"6' 1""",209,11/15/1992,ACTIVE,False,False,True,True,trevor-story
677800,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/677800/headshot/silo/current,Wilyer Abreu,/player/677800,52,Outfielders,L/L,"5' 10""",215,06/24/1999,ACTIVE,False,False,True,True,wilyer-abreu
701350,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/701350/headshot/silo/current,Roman Anthony,/player/701350,19,Outfielders,L/R,"6' 3""",200,05/13/2004,ACTIVE,False,False,True,True,roman-anthony
680776,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/680776/headshot/silo/current,Jarren Duran,/player/680776,16,Outfielders,L/R,"6' 0""",205,09/05/1996,ACTIVE,False,False,True,True,jarren-duran
678882,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/678882/headshot/silo/current,Ceddanne Rafaela,/player/678882,3,Outfielders,R/R,"5' 10""",165,09/18/2000,ACTIVE,False,False,True,True,ceddanne-rafaela
807799,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/807799/headshot/silo/current,Masataka Yoshida,/player/807799,7,Outfielders,L/R,"5' 8""",192,07/15/1993,ACTIVE,False,False,True,True,masataka-yoshida
